"id","terminal_id","tokens","cash","created_at","signature","__dt"
"57891","19","10.0","10.00","1613475254","33868ef4545815db168187c9d3515d2fa67649da0d512abab59ef8da7b01a456","2021-02-16 00:00:00.000"
"39943","15","5.0","5.00","1611813401","a59c9e5705686f88c27f81e35e01662f80566d5db35144102845a8016c63c228","2021-01-28 00:00:00.000"
"57837","7","20.0","20.00","1613471068","6bad8c3abad9ec1beb8d9e4acf67645ef40df1cca5b93ceb01643cd42462a27c","2021-02-16 00:00:00.000"
"21075","16","5.0","5.00","1610164807","7dd891990fa132b8984ceec497aef6e4fe6e259103f536104779a4cbece96011","2021-01-09 00:00:00.000"
"39912","6","6.0","6.00","1611812183","9914d07e3e307ff5b7e744a8ed0285bbddef2ac1657f58894aaa0f8ca5fb557b","2021-01-28 00:00:00.000"
"37525","7","20.0","20.00","1611557057","2d101e4aaed3c903e255f2b2424cfc9793e073c927af4f2c022ac6d461d05cf0","2021-01-25 00:00:00.000"
"22025","15","26.0","25.00","1610189120","b29509181132711f47f4fade87b2aa2787ea2f8006d7c06a5c1be27a53285d59","2021-01-09 00:00:00.000"
"21236","7","10.0","10.00","1610168817","e4c9e580ecbae7fafe386ff8a0a66f9949ebd98d2cbdd728c762b65d9cfe6df0","2021-01-09 00:00:00.000"
"21750","11","4.0","4.00","1610181576","a49e42db2279d164e6fb274795546c613e0cecf1f55c585516c392fb69481840","2021-01-09 00:00:00.000"
"21263","9","5.0","5.00","1610169508","196d49d9bf2435c70cac8cc201eac6135fd9b7c86f7d7708f1cf45fbdadac871","2021-01-09 00:00:00.000"
"40380","15","20.0","20.00","1611828560","4ecfe9ab4abce4d4cf531b3eacb8dc76fcba234384704e5f27551c849ad7dd87","2021-01-28 00:00:00.000"
"57572","14","51.0","50.00","1613452501","cedb7b334548c5c82a1aaed9826fbbc78ea6f314d5f92a290e0f2131ac66c389","2021-02-16 00:00:00.000"
"20879","18","14.0","14.00","1610158435","5eb82551ef60f85be18db74c2de472fafb5da64522ec4bb7b227c94fcf0c6e4d","2021-01-09 00:00:00.000"
"57886","2","1.0","1.00","1613474849","10e713f6442984a37dc4234a53b0b8061df72a2419d44230a16d1cc925cabc7a","2021-02-16 00:00:00.000"
"39922","15","10.0","10.00","1611812417","be307df5925c8da67ae3c2dc768a463b7af9a40e2aaad3806a8b910d70d88a15","2021-01-28 00:00:00.000"
"40464","18","10.0","10.00","1611830800","1fe05d3f4e98945bfb7ef3d017fafd5b5d38ea254c39f734ee626ffd228f2bed","2021-01-28 00:00:00.000"
"40070","9","10.0","10.00","1611817828","5e1dcae6085161675cd5cb9acdbd12d44967a68c31e3dfda878b20950a695b6e","2021-01-28 00:00:00.000"
"40092","7","1.0","1.00","1611818263","bec8c6533a646d2fe682ce66795a2f9756a6bad215c98ba1bb14e54e3d82d30b","2021-01-28 00:00:00.000"
"40291","18","10.0","10.00","1611826117","f1fa254cf37e031c5d16ee1769f09a64e395c2108aafdaca053df8a4bb90264c","2021-01-28 00:00:00.000"
"57760","14","10.0","10.00","1613465985","f18ed16582dd5a1971d23ac05dd4f29027e3a4c0893c733bda0062b9921ca1f4","2021-02-16 00:00:00.000"
"57674","14","20.0","20.00","1613460159","3c90e9c1bf20c7576656d28c48d5863bf49672db99bc1c19b5a748a6f252f55b","2021-02-16 00:00:00.000"
"57676","14","5.0","5.00","1613460176","a6916596a50d5883ad6c0ad6594b1026de7ec26d1f640235b875de8f8f9c726a","2021-02-16 00:00:00.000"
